ensembl ,gene ,log2FC,pvalue,padj,cell,timepoint
ENSG00000267934,CTB-176F20.3,3.009213381,4.57867E-11,3.4308E-07,HepG2,late
ENSG00000245648,RP11-277P12.20,1.907498303,1.83245E-06,0.002072254,HuH7,early
ENSG00000245648,RP11-277P12.20,1.907498303,1.83245E-06,0.002072254,HuH7,early
ENSG00000260710,RP11-616M22.7,2.475894928,2.95891E-06,0.002546216,HepG2,mid
ENSG00000264569,RP13-650J16.1,-1.563193215,4.36222E-06,0.003363469,HuH7,early
ENSG00000226380,MIR29A,1.74262168,5.02191E-06,0.004105408,HepG2,mid
ENSG00000254166,CASC19,1.640122881,5.38425E-06,0.004192025,HepG2,mid
ENSG00000224189,HOXD-AS1,-1.38103085,1.02937E-06,0.00437566,HepG2,early
ENSG00000233246,RP11-415J8.5,-2.985131571,9.0301E-07,0.00437566,HepG2,early
ENSG00000240498,CDKN2B-AS1,1.600368889,1.16831E-05,0.006606007,HuH7,early
ENSG00000240498,CDKN2B-AS1,1.600368889,1.16831E-05,0.006606007,HuH7,early
ENSG00000237686,RP5-1120P11.1,-1.477782416,2.21726E-05,0.011062147,HuH7,early
ENSG00000237686,RP5-1120P11.1,-1.477782416,2.21726E-05,0.011062147,HuH7,early
ENSG00000222041,LINC00152,1.390309255,2.40564E-05,0.011239051,HepG2,mid
ENSG00000233255,AC019181.2,-1.612433082,3.05242E-05,0.014382847,HuH7,early
ENSG00000227857,RP4-533D7.5,2.592565502,1.13134E-05,0.017175348,HepG2,early
ENSG00000229656,RP11-462L8.1,2.028474295,5.5867E-05,0.018641326,HepG2,mid
ENSG00000224093,RP5-1033H22.2,-2.178604075,2.14023E-05,0.025271331,HepG2,early
ENSG00000266903,CTB-171A8.1,-1.656562065,2.5736E-05,0.02734968,HepG2,early
ENSG00000266903,CTB-171A8.1,-1.656562065,2.5736E-05,0.02734968,HepG2,early
ENSG00000257185,RP11-626P14.2,-1.301556123,9.34033E-05,0.027400661,HuH7,early
ENSG00000267934,CTB-176F20.3,1.682408514,4.72963E-06,0.029937621,HuH7,late
ENSG00000259347,RP11-798K3.2,-1.195172889,0.000108638,0.030713876,HuH7,early
ENSG00000231721,LINC-PINT,-1.704572806,3.81026E-05,0.031147379,HepG2,early
ENSG00000231721,LINC-PINT,-1.704572806,3.81026E-05,0.031147379,HepG2,early
ENSG00000245648,RP11-277P12.20,1.800723248,3.85369E-05,0.034405348,HuH7,mid
ENSG00000245648,RP11-277P12.20,1.800723248,3.85369E-05,0.034405348,HuH7,mid
ENSG00000259867,RP11-525K10.3,-1.857503427,0.00015685,0.036119672,HepG2,mid
