ENSEMBL75 id,LncRNA name,Nearest coding gene
ENSG00000243485,MIR1302-10,ENSG00000186092
NA,NA,ENSG00000237683
ENSG00000237094|ENSG00000250575,RP4-669L17.10|RP4-669L17.8,ENSG00000235249
ENSG00000237491,RP11-206L10.9,ENSG00000269831
ENSG00000228794,LINC01128,ENSG00000269308
NA,NA,ENSG00000269308
ENSG00000217801,RP11-465B22.3,ENSG00000237330
NA,NA,ENSG00000131591
NA,NA,ENSG00000131591
NA,NA,ENSG00000184163
NA,NA,ENSG00000184163
NA,NA,ENSG00000184163
NA,NA,ENSG00000131584
NA,NA,ENSG00000127054
NA,NA,ENSG00000162576
NA,NA,ENSG00000221978
ENSG00000225905,RP4-758J18.7,ENSG00000235098
NA,NA,ENSG00000179403
NA,NA,ENSG00000228594
NA,NA,ENSG00000248333
ENSG00000227775,RP1-283E3.4,ENSG00000215790
NA,NA,ENSG00000008130
NA,NA,ENSG00000078369
NA,NA,ENSG00000078369
NA,NA,ENSG00000169885
NA,NA,ENSG00000142609
NA,NA,ENSG00000142609
NA,NA,ENSG00000187730
NA,NA,ENSG00000162585
ENSG00000234396,RP11-181G12.4,ENSG00000203301
NA,NA,ENSG00000116151
ENSG00000178642,AL513477.1,ENSG00000116151
ENSG00000228037,RP3-395M20.9,ENSG00000157870
ENSG00000237058,RP13-436F16.1,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000215912
NA,NA,ENSG00000116198
NA,NA,ENSG00000198912
ENSG00000236423,LINC01134,ENSG00000198912
ENSG00000233304,RP13-614K11.1,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000235054,RP5-1166F10.1,NA
NA,NA,NA
NA,NA,NA
ENSG00000232596,RP1-37J18.2,ENSG00000196581
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000131697
NA,NA,ENSG00000116251
ENSG00000228750,RP11-242F24.1,ENSG00000007923
NA,NA,ENSG00000049247
NA,NA,ENSG00000116288
ENSG00000238290,RP11-431K24.1,ENSG00000116285
NA,NA,ENSG00000162426
NA,NA,ENSG00000162426
NA,NA,ENSG00000142599
ENSG00000232912,RP5-1115A15.1,ENSG00000142599
NA,NA,ENSG00000142599
